Sigla,Unidade da Federação,Ano,Região,cov 1a dose,cov 2a dose,num doses,Óbitos,casos,Habitantes,Casos por Milhão,Óbitos por Milhão
RO,Rondônia,2004,"Região
Norte",130.63,NA,1426595,0,0,1562085,0,0
RO,Rondônia,2005,"Região
Norte",115.99,NA,1340974,0,0,1534594,0,0
RO,Rondônia,2006,"Região
Norte",125.36,NA,1238455,0,0,1562417,0,0
RO,Rondônia,2007,"Região
Norte",116.7,NA,1215765,0,0,NA,NA,NA
RO,Rondônia,2008,"Região
Norte",103.49,NA,1994004,0,0,1493565,0,0
RO,Rondônia,2009,"Região
Norte",102.29,NA,1324593,0,0,1503928,0,0
RO,Rondônia,2010,"Região
Norte",100.41,NA,1285531,0,0,1562409,0,0
RO,Rondônia,2011,"Região
Norte",102.72,NA,1046289,0,0,1576455,0,0
RO,Rondônia,2012,"Região
Norte",105.4,NA,1132627,0,0,1590011,0,0
RO,Rondônia,2013,"Região
Norte",106.52,74.56,1475687,0,0,1728214,0,0
RO,Rondônia,2014,"Região
Norte",146.88,112.73,1317443,0,0,1748531,0,0
RO,Rondônia,2015,"Região
Norte",109,94.61,1210346,0,0,1768204,0,0
RO,Rondônia,2016,"Região
Norte",109.79,94.32,1068443,0,0,1787279,0,0
RO,Rondônia,2017,"Região
Norte",103.01,81.58,1040486,0,0,1805788,0,0
RO,Rondônia,2018,"Região
Norte",101.65,78.87,1042453,0,2,1757589,1.137922460825597,0
RO,Rondônia,2019,"Região
Norte",106.42,82.25,96585,0,0,1777225,0,0
RO,Rondônia,2020,"Região
Norte",83.27,63.67,976011,0,6,1796460,3.3399018068868775,0
RO,Rondônia,2021,"Região
Norte",82.54,56.03,772969,0,0,1815278,0,0
RO,Rondônia,2022,"Região
Norte",89.16,62.59,882411,0,0,1581196,0,0
RO,Rondônia,2023,"Região
Norte",99.89,70.97,NA,0,0,NA,NA,NA
RO,Rondônia,2024,"Região
Norte",101.93,86.31,NA,0,0,1746227,0,0
RO,Rondônia,2025,"Região
Norte",92.41,78.16,NA,0,0,1751950,0,0
RR,Roraima,2003,"Região
Norte",110.22,NA,496589,0,0,357302,0,0
RR,Roraima,2004,"Região
Norte",110.32,NA,507098,0,0,381896,0,0
RR,Roraima,2005,"Região
Norte",116.01,NA,583352,0,0,391317,0,0
RR,Roraima,2006,"Região
Norte",94.23,NA,521363,0,0,403344,0,0
RR,Roraima,2007,"Região
Norte",97.31,NA,55551,0,0,NA,NA,NA
RR,Roraima,2008,"Região
Norte",95.51,NA,70257,0,0,412783,0,0
RR,Roraima,2009,"Região
Norte",100.61,NA,510003,0,0,421499,0,0
RR,Roraima,2010,"Região
Norte",94.49,NA,467047,0,0,450479,0,0
RR,Roraima,2011,"Região
Norte",97.98,NA,390022,0,0,460165,0,0
RR,Roraima,2012,"Região
Norte",87.83,NA,38859,0,0,469524,0,0
RR,Roraima,2013,"Região
Norte",89.07,23.02,496372,0,0,488072,0,0
RR,Roraima,2014,"Região
Norte",110.16,89.67,488571,0,0,496936,0,0
RR,Roraima,2015,"Região
Norte",108.45,92.42,517445,0,1,505665,1.9775938615486537,0
RR,Roraima,2016,"Região
Norte",90.77,83.5,448371,0,0,514229,0,0
RR,Roraima,2017,"Região
Norte",86.53,86.27,564293,0,0,522636,0,0
RR,Roraima,2018,"Região
Norte",99.32,88.27,76403,4,368,576568,638.2594941099749,6.9376031968475536
RR,Roraima,2019,"Região
Norte",81.21,86.72,632659,0,1,605761,1.6508160809296075,0
RR,Roraima,2020,"Região
Norte",68.83,64.72,445408,0,0,631181,0,0
RR,Roraima,2021,"Região
Norte",67.31,42.14,456945,0,0,652713,0,0
RR,Roraima,2022,"Região
Norte",66.95,48.34,611508,0,0,636707,0,0
RR,Roraima,2023,"Região
Norte",83.31,60.75,NA,0,0,NA,NA,NA
RR,Roraima,2024,"Região
Norte",99.44,90.85,NA,0,0,716793,0,0
RR,Roraima,2025,"Região
Norte",94.08,80.8,NA,0,0,738772,0,0
SC,Santa Catarina,2003,"Região
Sul",115.37,NA,3549033,0,2,5607233,0.35668216391221835,0
SC,Santa Catarina,2004,"Região
Sul",97.79,NA,4250344,0,0,5774178,0,0
SC,Santa Catarina,2005,"Região
Sul",101.01,NA,3640164,0,4,5866568,0.681829648953187,0
SC,Santa Catarina,2006,"Região
Sul",100.38,NA,3462701,0,0,5958266,0,0
SC,Santa Catarina,2007,"Região
Sul",102.4,NA,3637272,0,0,NA,NA,NA
SC,Santa Catarina,2008,"Região
Sul",96.43,NA,5821191,0,0,6052587,0,0
SC,Santa Catarina,2009,"Região
Sul",103.11,NA,4095704,0,0,6118743,0,0
SC,Santa Catarina,2010,"Região
Sul",101.3,NA,4264007,0,0,6248436,0,0
SC,Santa Catarina,2011,"Região
Sul",99.79,NA,3507857,0,0,6317054,0,0
SC,Santa Catarina,2012,"Região
Sul",100.35,NA,3992983,0,0,6362734,0,0
SC,Santa Catarina,2013,"Região
Sul",104.61,71.69,5233155,0,1,6634254,0.1507328480338558,0
SC,Santa Catarina,2014,"Região
Sul",112.2,93.38,4857239,0,0,6727148,0,0
SC,Santa Catarina,2015,"Região
Sul",103.42,83.72,4138296,0,0,6819190,0,0
SC,Santa Catarina,2016,"Região
Sul",98.97,98.38,3493106,0,0,6910553,0,0
SC,Santa Catarina,2017,"Região
Sul",91.81,81.42,3318145,0,0,7001161,0,0
SC,Santa Catarina,2018,"Região
Sul",92.12,83.42,4165092,0,0,7075494,0,0
SC,Santa Catarina,2019,"Região
Sul",95.82,93.34,5912015,0,297,7164788,41.452726863655975,0
SC,Santa Catarina,2020,"Região
Sul",86.35,84.6,4372245,0,107,7252502,14.753529195855444,0
SC,Santa Catarina,2021,"Região
Sul",87.52,69.61,3441597,0,0,7338473,0,0
SC,Santa Catarina,2022,"Região
Sul",94.94,72.35,3940544,0,0,7610361,0,0
SC,Santa Catarina,2023,"Região
Sul",97.65,74.86,NA,0,0,NA,NA,NA
SC,Santa Catarina,2024,"Região
Sul",98.63,80.05,NA,0,0,8058441,0,0
SC,Santa Catarina,2025,"Região
Sul",92.52,74,NA,0,0,8187029,0,0
SP,São Paulo,2003,"Região
Sudeste",119.88,NA,27201692,1,0,38709320,0,0.025833571863313535
SP,São Paulo,2004,"Região
Sudeste",104.3,NA,32467605,1,0,39825226,0,0.025109713125042905
SP,São Paulo,2005,"Região
Sudeste",102.04,NA,27171244,0,2,40442795,0.04945256627292945,0
SP,São Paulo,2006,"Região
Sudeste",101.19,NA,26031291,0,0,41055734,0,0
SP,São Paulo,2007,"Região
Sudeste",100.23,NA,27386979,0,0,NA,NA,NA
SP,São Paulo,2008,"Região
Sudeste",96.68,NA,42790366,0,0,41011638,0,0
SP,São Paulo,2009,"Região
Sudeste",99.13,NA,30640830,0,0,41384039,0,0
SP,São Paulo,2010,"Região
Sudeste",94.91,NA,30031501,0,0,41262199,0,0
SP,São Paulo,2011,"Região
Sudeste",100.34,NA,24341738,0,27,41587182,0.6492385081537865,0
SP,São Paulo,2012,"Região
Sudeste",99.54,NA,25684801,0,1,41901219,0.023865654123332306,0
SP,São Paulo,2013,"Região
Sudeste",103.37,75.71,35276534,0,5,43663669,0.11451167788946,0
SP,São Paulo,2014,"Região
Sudeste",105.02,95.89,28111829,0,7,44035304,0.15896336266918926,0
SP,São Paulo,2015,"Região
Sudeste",97.91,92.43,24321936,0,2,44396484,0.04504861240813574,0
SP,São Paulo,2016,"Região
Sudeste",92.96,77.73,19278980,0,0,44749699,0,0
SP,São Paulo,2017,"Região
Sudeste",86.72,83.4,25985472,0,0,45094866,0,0
SP,São Paulo,2018,"Região
Sudeste",91.46,81.84,26250596,0,7,45538936,0.15371461467610925,0
SP,São Paulo,2019,"Região
Sudeste",91.8,82.5,26182341,14,18049,45919049,393.06127616014,0.30488436291439747
SP,São Paulo,2020,"Região
Sudeste",85.23,67.11,22648718,1,879,46289333,18.98925612084322,0.021603249284235744
SP,São Paulo,2021,"Região
Sudeste",77.85,61.33,17281895,0,8,46649132,0.171493008701641,0
SP,São Paulo,2022,"Região
Sudeste",78.42,62.25,18370920,0,8,44411238,0.18013458665574691,0
SP,São Paulo,2023,"Região
Sudeste",93.11,76.41,NA,0,0,NA,NA,NA
SP,São Paulo,2024,"Região
Sudeste",99.13,83.11,NA,0,2,45973194,0.04350361212666668,0
SP,São Paulo,2025,"Região
Sudeste",94.58,76.69,NA,0,1,46081801,0.021700540740584338,0
SE,Sergipe,2003,"Região
Nordeste",132.46,NA,1921528,0,0,1874613,0,0
SE,Sergipe,2004,"Região
Nordeste",120.41,NA,1790027,0,0,1934596,0,0
SE,Sergipe,2005,"Região
Nordeste",93.82,NA,1372442,0,0,1967791,0,0
SE,Sergipe,2006,"Região
Nordeste",95.89,NA,1482503,0,0,2000738,0,0
SE,Sergipe,2007,"Região
Nordeste",106.25,NA,1444107,0,0,NA,NA,NA
SE,Sergipe,2008,"Região
Nordeste",99.53,NA,2058772,0,0,1999374,0,0
SE,Sergipe,2009,"Região
Nordeste",102.66,NA,1456439,0,0,2019679,0,0
SE,Sergipe,2010,"Região
Nordeste",98.24,NA,1477773,0,0,2068017,0,0
SE,Sergipe,2011,"Região
Nordeste",98.03,NA,1183430,0,0,2089819,0,0
SE,Sergipe,2012,"Região
Nordeste",97.34,NA,1204980,0,0,2110867,0,0
SE,Sergipe,2013,"Região
Nordeste",111.44,79.87,1666453,0,0,2195662,0,0
SE,Sergipe,2014,"Região
Nordeste",94.64,81.8,1348110,0,0,2219574,0,0
SE,Sergipe,2015,"Região
Nordeste",91.99,80.95,1202853,0,0,2242937,0,0
SE,Sergipe,2016,"Região
Nordeste",92.09,70.86,921798,0,0,2265779,0,0
SE,Sergipe,2017,"Região
Nordeste",83.24,69.69,1077692,0,0,2288116,0,0
SE,Sergipe,2018,"Região
Nordeste",95.47,71.93,1135732,0,4,2278308,1.7556888708638165,0
SE,Sergipe,2019,"Região
Nordeste",90.99,74.98,1123208,0,6,2298696,2.6101755082011713,0
SE,Sergipe,2020,"Região
Nordeste",74.91,59.97,1066844,0,8,2318822,3.4500276433464925,0
SE,Sergipe,2021,"Região
Nordeste",76.52,64.16,870324,0,0,2338474,0,0
SE,Sergipe,2022,"Região
Nordeste",84.31,65.15,1053393,0,0,2210004,0,0
SE,Sergipe,2023,"Região
Nordeste",93.59,78.2,NA,0,0,NA,NA,NA
SE,Sergipe,2024,"Região
Nordeste",94.91,87.49,NA,0,0,2291077,0,0
SE,Sergipe,2025,"Região
Nordeste",91.77,81.86,NA,0,0,2299425,0,0
TO,Tocantins,2003,"Região
Norte",115.03,NA,1377203,0,0,1230181,0,0
TO,Tocantins,2004,"Região
Norte",97.41,NA,1485587,0,0,1262644,0,0
TO,Tocantins,2005,"Região
Norte",101,NA,1355459,0,0,1305728,0,0
TO,Tocantins,2006,"Região
Norte",100.96,NA,1193202,0,0,1332441,0,0
TO,Tocantins,2007,"Região
Norte",107.82,NA,1307533,0,0,NA,NA,NA
TO,Tocantins,2008,"Região
Norte",96.4,NA,1978904,0,0,1280513,0,0
TO,Tocantins,2009,"Região
Norte",103,NA,1189213,0,0,1292051,0,0
TO,Tocantins,2010,"Região
Norte",95.33,NA,1227429,0,0,1383445,0,0
TO,Tocantins,2011,"Região
Norte",91.41,NA,915869,0,0,1400892,0,0
TO,Tocantins,2012,"Região
Norte",91.6,NA,9606,0,0,1417694,0,0
TO,Tocantins,2013,"Região
Norte",102.24,72.31,1259635,0,0,1478164,0,0
TO,Tocantins,2014,"Região
Norte",105.54,89.43,1074531,0,0,1496880,0,0
TO,Tocantins,2015,"Região
Norte",94.7,61.33,928444,0,0,1515126,0,0
TO,Tocantins,2016,"Região
Norte",91.89,88.28,78713,0,0,1532902,0,0
TO,Tocantins,2017,"Região
Norte",83.26,73.77,940983,0,0,1550194,0,0
TO,Tocantins,2018,"Região
Norte",91.21,78.86,823995,0,0,1555229,0,0
TO,Tocantins,2019,"Região
Norte",91.07,84.71,830418,0,0,1572866,0,0
TO,Tocantins,2020,"Região
Norte",81.63,67.56,886045,0,1,1590248,0.6288327355230128,0
TO,Tocantins,2021,"Região
Norte",80.47,50.51,724738,0,0,1607363,0,0
TO,Tocantins,2022,"Região
Norte",82.89,50.39,823175,0,0,1511460,0,0
TO,Tocantins,2023,"Região
Norte",94.43,57.4,NA,0,0,NA,NA,NA
TO,Tocantins,2024,"Região
Norte",94.02,80.28,NA,0,0,1577342,0,0
TO,Tocantins,2025,"Região
Norte",88.65,58.5,NA,0,0,1586859,0,0
AC,Acre,1994,"Região
Norte",NA,NA,247271,0,4,NA,NA,NA
AC,Acre,1995,"Região
Norte",NA,NA,532068,0,8,NA,NA,NA
AC,Acre,1996,"Região
Norte",NA,NA,381238,0,4,NA,NA,NA
AC,Acre,1997,"Região
Norte",NA,NA,750997,0,12,NA,NA,NA
AC,Acre,1998,"Região
Norte",NA,NA,613288,0,9,NA,NA,NA
AC,Acre,1999,"Região
Norte",NA,NA,2095997,0,14,NA,NA,NA
AC,Acre,2000,"Região
Norte",NA,NA,897103,0,15,NA,NA,NA
AC,Acre,2001,"Região
Norte",NA,NA,803376,0,0,574355,0,0
AC,Acre,2002,"Região
Norte",NA,NA,730728,0,0,586942,0,0
AL,Alagoas,1994,"Região
Nordeste",NA,NA,0,1,3,NA,NA,NA
AL,Alagoas,1995,"Região
Nordeste",NA,NA,1093767,2,24,NA,NA,NA
AL,Alagoas,1996,"Região
Nordeste",NA,NA,1424137,0,19,NA,NA,NA
AL,Alagoas,1997,"Região
Nordeste",NA,NA,1802078,1,30,NA,NA,NA
AL,Alagoas,1998,"Região
Nordeste",NA,NA,1897345,0,7,NA,NA,NA
AL,Alagoas,1999,"Região
Nordeste",NA,NA,2746091,0,43,NA,NA,NA
AL,Alagoas,2000,"Região
Nordeste",NA,NA,4181914,0,0,NA,NA,NA
AL,Alagoas,2001,"Região
Nordeste",NA,NA,2831806,0,0,2856629,0,0
AL,Alagoas,2002,"Região
Nordeste",NA,NA,3767158,0,0,2887535,0,0
AM,Amapá,1994,"Região
Norte",NA,NA,0,0,11,NA,NA,NA
AM,Amapá,1995,"Região
Norte",NA,NA,199883,0,9,NA,NA,NA
AM,Amapá,1996,"Região
Norte",NA,NA,217548,0,10,NA,NA,NA
AM,Amapá,1997,"Região
Norte",NA,NA,342782,0,22,NA,NA,NA
AM,Amapá,1998,"Região
Norte",NA,NA,594037,0,0,NA,NA,NA
AM,Amapá,1999,"Região
Norte",NA,NA,623304,0,0,NA,NA,NA
AM,Amapá,2000,"Região
Norte",NA,NA,801443,0,0,NA,NA,NA
AM,Amapá,2001,"Região
Norte",NA,NA,950739,0,0,498735,0,0
AM,Amapá,2002,"Região
Norte",NA,NA,699919,0,0,516511,0,0
AP,Amazonas,1994,"Região
Norte",NA,NA,1060057,1,146,NA,NA,NA
AP,Amazonas,1995,"Região
Norte",NA,NA,1713669,1,43,NA,NA,NA
AP,Amazonas,1996,"Região
Norte",NA,NA,2330216,0,28,NA,NA,NA
AP,Amazonas,1997,"Região
Norte",NA,NA,2714198,0,60,NA,NA,NA
AP,Amazonas,1998,"Região
Norte",NA,NA,3701986,0,110,NA,NA,NA
AP,Amazonas,1999,"Região
Norte",NA,NA,3090981,0,54,NA,NA,NA
AP,Amazonas,2000,"Região
Norte",NA,NA,4375096,0,2,NA,NA,NA
AP,Amazonas,2001,"Região
Norte",NA,NA,3627279,0,0,2900240,0,0
AP,Amazonas,2002,"Região
Norte",NA,NA,3437222,0,0,2961801,0,0
BA,Bahia,1994,"Região
Nordeste",NA,NA,6099252,1,96,NA,NA,NA
BA,Bahia,1995,"Região
Nordeste",NA,NA,4356615,0,36,NA,NA,NA
BA,Bahia,1996,"Região
Nordeste",NA,NA,5576198,1,362,NA,NA,NA
BA,Bahia,1997,"Região
Nordeste",NA,NA,7641690,5,2557,NA,NA,NA
BA,Bahia,1998,"Região
Nordeste",NA,NA,8814911,0,100,NA,NA,NA
BA,Bahia,1999,"Região
Nordeste",NA,NA,12098406,1,14,NA,NA,NA
BA,Bahia,2000,"Região
Nordeste",NA,NA,15148885,0,0,NA,NA,NA
BA,Bahia,2001,"Região
Nordeste",NA,NA,14990428,0,0,13214114,0,0
BA,Bahia,2002,"Região
Nordeste",NA,NA,16724931,0,0,13323212,0,0
CE,Ceará,1994,"Região
Nordeste",NA,NA,3525002,0,87,NA,NA,NA
CE,Ceará,1995,"Região
Nordeste",NA,NA,3454249,0,37,NA,NA,NA
CE,Ceará,1996,"Região
Nordeste",NA,NA,4313033,0,125,NA,NA,NA
CE,Ceará,1997,"Região
Nordeste",NA,NA,5798538,3,864,NA,NA,NA
CE,Ceará,1998,"Região
Nordeste",NA,NA,4654166,1,29,NA,NA,NA
CE,Ceará,1999,"Região
Nordeste",NA,NA,6716104,0,8,NA,NA,NA
CE,Ceará,2000,"Região
Nordeste",NA,NA,7282168,0,0,NA,NA,NA
CE,Ceará,2001,"Região
Nordeste",NA,NA,6207816,0,0,7547620,0,0
CE,Ceará,2002,"Região
Nordeste",NA,NA,6112441,0,0,7654535,0,0
DF,Distrito Federal,1994,"Região
Centro-Oeste",NA,NA,0,0,10,NA,NA,NA
DF,Distrito Federal,1995,"Região
Centro-Oeste",NA,NA,837,0,3,NA,NA,NA
DF,Distrito Federal,1996,"Região
Centro-Oeste",NA,NA,1059721,0,75,NA,NA,NA
DF,Distrito Federal,1997,"Região
Centro-Oeste",NA,NA,1522637,0,878,NA,NA,NA
DF,Distrito Federal,1998,"Região
Centro-Oeste",NA,NA,1844074,0,131,NA,NA,NA
DF,Distrito Federal,1999,"Região
Centro-Oeste",NA,NA,2275479,0,11,NA,NA,NA
DF,Distrito Federal,2000,"Região
Centro-Oeste",NA,NA,3547372,0,0,NA,NA,NA
DF,Distrito Federal,2001,"Região
Centro-Oeste",NA,NA,1884596,0,0,2097447,0,0
DF,Distrito Federal,2002,"Região
Centro-Oeste",NA,NA,1659352,0,0,2145839,0,0
ES,Espírito Santo,1994,"Região
Sudeste",NA,NA,1296432,0,32,NA,NA,NA
ES,Espírito Santo,1995,"Região
Sudeste",NA,NA,2549855,0,33,NA,NA,NA
ES,Espírito Santo,1996,"Região
Sudeste",NA,NA,1810593,1,6,NA,NA,NA
ES,Espírito Santo,1997,"Região
Sudeste",NA,NA,1749539,0,35,NA,NA,NA
ES,Espírito Santo,1998,"Região
Sudeste",NA,NA,3115713,2,2,NA,NA,NA
ES,Espírito Santo,1999,"Região
Sudeste",NA,NA,2709205,0,4,NA,NA,NA
ES,Espírito Santo,2000,"Região
Sudeste",NA,NA,2649509,0,0,NA,NA,NA
ES,Espírito Santo,2001,"Região
Sudeste",NA,NA,2989388,0,0,3155016,0,0
ES,Espírito Santo,2002,"Região
Sudeste",NA,NA,2287449,0,0,3201722,0,0
GO,Goiás,1994,"Região
Centro-Oeste",NA,NA,1017343,0,21,NA,NA,NA
GO,Goiás,1995,"Região
Centro-Oeste",NA,NA,2890781,0,11,NA,NA,NA
GO,Goiás,1996,"Região
Centro-Oeste",NA,NA,2956842,0,101,NA,NA,NA
GO,Goiás,1997,"Região
Centro-Oeste",NA,NA,3327562,0,526,NA,NA,NA
GO,Goiás,1998,"Região
Centro-Oeste",NA,NA,4236982,0,69,NA,NA,NA
GO,Goiás,1999,"Região
Centro-Oeste",NA,NA,5227361,0,11,NA,NA,NA
GO,Goiás,2000,"Região
Centro-Oeste",NA,NA,6895461,0,0,NA,NA,NA
GO,Goiás,2001,"Região
Centro-Oeste",NA,NA,5310681,0,0,5116462,0,0
GO,Goiás,2002,"Região
Centro-Oeste",NA,NA,4480963,0,0,5210335,0,0
MA,Maranhão,1994,"Região
Nordeste",NA,NA,3573421,0,11,NA,NA,NA
MA,Maranhão,1995,"Região
Nordeste",NA,NA,4516440,1,2,NA,NA,NA
MA,Maranhão,1996,"Região
Nordeste",NA,NA,3235673,0,9,NA,NA,NA
MA,Maranhão,1997,"Região
Nordeste",NA,NA,4463053,0,48,NA,NA,NA
MA,Maranhão,1998,"Região
Nordeste",NA,NA,5709568,0,0,NA,NA,NA
MA,Maranhão,1999,"Região
Nordeste",NA,NA,7880828,0,0,NA,NA,NA
MA,Maranhão,2000,"Região
Nordeste",NA,NA,7946756,0,0,NA,NA,NA
MA,Maranhão,2001,"Região
Nordeste",NA,NA,7062753,0,0,5730467,0,0
MA,Maranhão,2002,"Região
Nordeste",NA,NA,6196708,0,0,5803224,0,0
MT,Mato Grosso,1994,"Região
Centro-Oeste",NA,NA,1019664,0,14,NA,NA,NA
MT,Mato Grosso,1995,"Região
Centro-Oeste",NA,NA,1243724,1,6,NA,NA,NA
MT,Mato Grosso,1996,"Região
Centro-Oeste",NA,NA,1195919,0,21,NA,NA,NA
MT,Mato Grosso,1997,"Região
Centro-Oeste",NA,NA,2057182,0,54,NA,NA,NA
MT,Mato Grosso,1998,"Região
Centro-Oeste",NA,NA,3558030,0,19,NA,NA,NA
MT,Mato Grosso,1999,"Região
Centro-Oeste",NA,NA,3358897,0,7,NA,NA,NA
MT,Mato Grosso,2000,"Região
Centro-Oeste",NA,NA,4221129,0,0,NA,NA,NA
MT,Mato Grosso,2001,"Região
Centro-Oeste",NA,NA,2931112,0,0,2560584,0,0
MT,Mato Grosso,2002,"Região
Centro-Oeste",NA,NA,3063932,0,0,2604742,0,0
MS,Mato Grosso do Sul,1994,"Região
Centro-Oeste",NA,NA,0,0,68,NA,NA,NA
MS,Mato Grosso do Sul,1995,"Região
Centro-Oeste",NA,NA,0,0,17,NA,NA,NA
MS,Mato Grosso do Sul,1996,"Região
Centro-Oeste",NA,NA,624349,0,11,NA,NA,NA
MS,Mato Grosso do Sul,1997,"Região
Centro-Oeste",NA,NA,1245403,0,155,NA,NA,NA
MS,Mato Grosso do Sul,1998,"Região
Centro-Oeste",NA,NA,1445619,0,46,NA,NA,NA
MS,Mato Grosso do Sul,1999,"Região
Centro-Oeste",NA,NA,2044697,0,21,NA,NA,NA
MS,Mato Grosso do Sul,2000,"Região
Centro-Oeste",NA,NA,2660005,0,1,NA,NA,NA
MS,Mato Grosso do Sul,2001,"Região
Centro-Oeste",NA,NA,2223468,0,0,2111036,0,0
MS,Mato Grosso do Sul,2002,"Região
Centro-Oeste",NA,NA,2902173,0,0,2140624,0,0
MG,Minas Gerais,1994,"Região
Sudeste",NA,NA,0,0,97,NA,NA,NA
MG,Minas Gerais,1995,"Região
Sudeste",NA,NA,0,0,60,NA,NA,NA
MG,Minas Gerais,1996,"Região
Sudeste",NA,NA,0,1,74,NA,NA,NA
MG,Minas Gerais,1997,"Região
Sudeste",NA,NA,10308837,3,794,NA,NA,NA
MG,Minas Gerais,1998,"Região
Sudeste",NA,NA,11316601,0,43,NA,NA,NA
MG,Minas Gerais,1999,"Região
Sudeste",NA,NA,19681975,0,9,NA,NA,NA
MG,Minas Gerais,2000,"Região
Sudeste",NA,NA,18771161,0,0,NA,NA,NA
MG,Minas Gerais,2001,"Região
Sudeste",NA,NA,21661166,0,0,18127096,0,0
MG,Minas Gerais,2002,"Região
Sudeste",NA,NA,15768385,0,0,18343517,0,0
PA,Pará,1994,"Região
Norte",NA,NA,2702656,0,42,NA,NA,NA
PA,Pará,1995,"Região
Norte",NA,NA,2989578,0,22,NA,NA,NA
PA,Pará,1996,"Região
Norte",NA,NA,3762019,0,25,NA,NA,NA
PA,Pará,1997,"Região
Norte",NA,NA,5986769,0,52,NA,NA,NA
PA,Pará,1998,"Região
Norte",NA,NA,7379632,0,21,NA,NA,NA
PA,Pará,1999,"Região
Norte",NA,NA,8898969,0,17,NA,NA,NA
PA,Pará,2000,"Região
Norte",NA,NA,9555755,0,0,NA,NA,NA
PA,Pará,2001,"Região
Norte",NA,NA,7828208,0,0,6341736,0,0
PA,Pará,2002,"Região
Norte",NA,NA,10078315,0,0,6453683,0,0
PB,Paraíba,1994,"Região
Nordeste",NA,NA,0,0,8,NA,NA,NA
PB,Paraíba,1995,"Região
Nordeste",NA,NA,779729,0,33,NA,NA,NA
PB,Paraíba,1996,"Região
Nordeste",NA,NA,1620745,0,59,NA,NA,NA
PB,Paraíba,1997,"Região
Nordeste",NA,NA,3235523,0,342,NA,NA,NA
PB,Paraíba,1998,"Região
Nordeste",NA,NA,2694232,0,49,NA,NA,NA
PB,Paraíba,1999,"Região
Nordeste",NA,NA,2761255,0,35,NA,NA,NA
PB,Paraíba,2000,"Região
Nordeste",NA,NA,2640373,0,0,NA,NA,NA
PB,Paraíba,2001,"Região
Nordeste",NA,NA,2778642,0,0,3468594,0,0
PB,Paraíba,2002,"Região
Nordeste",NA,NA,3083571,0,0,3494893,0,0
PR,Paraná,1994,"Região
Sul",NA,NA,0,0,9,NA,NA,NA
PR,Paraná,1995,"Região
Sul",NA,NA,3546002,0,33,NA,NA,NA
PR,Paraná,1996,"Região
Sul",NA,NA,3282837,0,73,NA,NA,NA
PR,Paraná,1997,"Região
Sul",NA,NA,6709434,1,546,NA,NA,NA
PR,Paraná,1998,"Região
Sul",NA,NA,4531876,0,909,NA,NA,NA
PR,Paraná,1999,"Região
Sul",NA,NA,11553319,0,1,NA,NA,NA
PR,Paraná,2000,"Região
Sul",NA,NA,8916069,0,2,NA,NA,NA
PR,Paraná,2001,"Região
Sul",NA,NA,8484257,0,0,9694709,0,0
PR,Paraná,2002,"Região
Sul",NA,NA,7459354,0,0,9798006,0,0
PE,Pernambuco,1994,"Região
Nordeste",NA,NA,3433375,1,13,NA,NA,NA
PE,Pernambuco,1995,"Região
Nordeste",NA,NA,6212277,0,10,NA,NA,NA
PE,Pernambuco,1996,"Região
Nordeste",NA,NA,6013353,0,23,NA,NA,NA
PE,Pernambuco,1997,"Região
Nordeste",NA,NA,6364081,0,335,NA,NA,NA
PE,Pernambuco,1998,"Região
Nordeste",NA,NA,5992067,0,345,NA,NA,NA
PE,Pernambuco,1999,"Região
Nordeste",NA,NA,7849485,0,240,NA,NA,NA
PE,Pernambuco,2000,"Região
Nordeste",NA,NA,9532845,0,0,NA,NA,NA
PE,Pernambuco,2001,"Região
Nordeste",NA,NA,8956393,0,0,8008207,0,0
PE,Pernambuco,2002,"Região
Nordeste",NA,NA,7879981,0,0,8084667,0,0
PI,Piauí,1994,"Região
Nordeste",NA,NA,1665626,1,8,NA,NA,NA
PI,Piauí,1995,"Região
Nordeste",NA,NA,1440068,0,7,NA,NA,NA
PI,Piauí,1996,"Região
Nordeste",NA,NA,1339793,1,8,NA,NA,NA
PI,Piauí,1997,"Região
Nordeste",NA,NA,1491053,0,161,NA,NA,NA
PI,Piauí,1998,"Região
Nordeste",NA,NA,1604822,0,19,NA,NA,NA
PI,Piauí,1999,"Região
Nordeste",NA,NA,2170145,0,6,NA,NA,NA
PI,Piauí,2000,"Região
Nordeste",NA,NA,3569150,0,0,NA,NA,NA
PI,Piauí,2001,"Região
Nordeste",NA,NA,2755932,0,0,2873010,0,0
PI,Piauí,2002,"Região
Nordeste",NA,NA,3079740,0,0,2898223,0,0
RJ,Rio de Janeiro,1994,"Região
Sudeste",NA,NA,0,0,136,NA,NA,NA
RJ,Rio de Janeiro,1995,"Região
Sudeste",NA,NA,4418954,0,126,NA,NA,NA
RJ,Rio de Janeiro,1996,"Região
Sudeste",NA,NA,3624884,0,438,NA,NA,NA
RJ,Rio de Janeiro,1997,"Região
Sudeste",NA,NA,7275325,2,2616,NA,NA,NA
RJ,Rio de Janeiro,1998,"Região
Sudeste",NA,NA,7678953,0,305,NA,NA,NA
RJ,Rio de Janeiro,1999,"Região
Sudeste",NA,NA,10757180,0,177,NA,NA,NA
RJ,Rio de Janeiro,2000,"Região
Sudeste",NA,NA,12023435,0,1,NA,NA,NA
RJ,Rio de Janeiro,2001,"Região
Sudeste",NA,NA,13904327,0,0,14558545,0,0
